time_sec,frame_index,event,count_line_id,track_id,class,entry_zone,exit_zone,queue_zone_id,queue_count
0.0,0,queue_snapshot,,,,,,E_queue,0.0
0.0,0,queue_snapshot,,,,,,N_queue,0.0
0.0,0,queue_snapshot,,,,,,W_queue,0.0
0.0,0,class_snapshot,,,truck,,,,1.0
3.0,1,queue_snapshot,,,,,,E_queue,0.0
3.0,1,queue_snapshot,,,,,,N_queue,0.0
3.0,1,queue_snapshot,,,,,,W_queue,0.0
3.0,1,class_snapshot,,,class_7,,,,1.0
6.0,2,queue_snapshot,,,,,,E_queue,0.0
6.0,2,queue_snapshot,,,,,,N_queue,0.0
6.0,2,queue_snapshot,,,,,,W_queue,0.0
6.0,2,class_snapshot,,,car,,,,1.0
6.0,2,class_snapshot,,,truck,,,,1.0
6.0,2,class_snapshot,,,class_9,,,,1.0
6.0,2,class_snapshot,,,class_7,,,,1.0
9.0,3,queue_snapshot,,,,,,E_queue,0.0
9.0,3,queue_snapshot,,,,,,N_queue,0.0
9.0,3,queue_snapshot,,,,,,W_queue,0.0
9.0,3,class_snapshot,,,truck,,,,1.0
9.0,3,class_snapshot,,,class_7,,,,1.0
12.0,4,queue_snapshot,,,,,,E_queue,0.0
12.0,4,queue_snapshot,,,,,,N_queue,0.0
12.0,4,queue_snapshot,,,,,,W_queue,0.0
12.0,4,class_snapshot,,,truck,,,,1.0
12.0,4,class_snapshot,,,class_9,,,,1.0
12.0,4,class_snapshot,,,class_7,,,,1.0
15.0,5,queue_snapshot,,,,,,E_queue,1.0
15.0,5,queue_snapshot,,,,,,N_queue,0.0
15.0,5,queue_snapshot,,,,,,W_queue,0.0
15.0,5,class_snapshot,,,truck,,,,1.0
15.0,5,class_snapshot,,,class_7,,,,1.0
15.0,5,class_snapshot,,,class_9,,,,1.0
18.0,6,queue_snapshot,,,,,,E_queue,1.0
18.0,6,queue_snapshot,,,,,,N_queue,0.0
18.0,6,queue_snapshot,,,,,,W_queue,0.0
18.0,6,class_snapshot,,,truck,,,,1.0
18.0,6,class_snapshot,,,class_9,,,,1.0
18.0,6,class_snapshot,,,class_7,,,,1.0
21.0,7,queue_snapshot,,,,,,E_queue,1.0
21.0,7,queue_snapshot,,,,,,N_queue,0.0
21.0,7,queue_snapshot,,,,,,W_queue,0.0
21.0,7,class_snapshot,,,truck,,,,1.0
21.0,7,class_snapshot,,,class_9,,,,1.0
21.0,7,class_snapshot,,,car,,,,1.0
24.0,8,queue_snapshot,,,,,,E_queue,1.0
24.0,8,queue_snapshot,,,,,,N_queue,0.0
24.0,8,queue_snapshot,,,,,,W_queue,0.0
24.0,8,class_snapshot,,,truck,,,,1.0
24.0,8,class_snapshot,,,car,,,,1.0
24.0,8,class_snapshot,,,class_9,,,,1.0
24.0,8,class_snapshot,,,class_7,,,,1.0
27.0,9,queue_snapshot,,,,,,E_queue,1.0
27.0,9,queue_snapshot,,,,,,N_queue,0.0
27.0,9,queue_snapshot,,,,,,W_queue,0.0
27.0,9,class_snapshot,,,truck,,,,1.0
27.0,9,class_snapshot,,,class_9,,,,1.0
27.0,9,class_snapshot,,,class_7,,,,1.0
30.0,10,queue_snapshot,,,,,,E_queue,1.0
30.0,10,queue_snapshot,,,,,,N_queue,0.0
30.0,10,queue_snapshot,,,,,,W_queue,0.0
30.0,10,class_snapshot,,,truck,,,,2.0
30.0,10,class_snapshot,,,car,,,,1.0
30.0,10,class_snapshot,,,class_9,,,,1.0
30.0,10,class_snapshot,,,class_7,,,,1.0
33.0,11,queue_snapshot,,,,,,E_queue,1.0
33.0,11,queue_snapshot,,,,,,N_queue,0.0
33.0,11,queue_snapshot,,,,,,W_queue,0.0
33.0,11,class_snapshot,,,truck,,,,3.0
33.0,11,class_snapshot,,,class_9,,,,1.0
33.0,11,class_snapshot,,,class_7,,,,1.0
36.0,12,queue_snapshot,,,,,,E_queue,0.0
36.0,12,queue_snapshot,,,,,,N_queue,0.0
36.0,12,queue_snapshot,,,,,,W_queue,0.0
36.0,12,class_snapshot,,,truck,,,,3.0
